Metric,Value
Claim records,6258.0
Policy-year records,5639.0
Mean claim,15585.90369926494
Median claim,1837.0
Maximum claim,12922217.84
Zero-claim policy-years,3960.0
Expected annual claims (2010 portfolio),1362.080555930984
Frequency dispersion,5.269811953606118
Severity tail threshold,35807.20749999998
Severity tail exceedances,313.0
GPD shape,0.938163462126036
GPD scale,39559.709373514896
Simulation seed,42.0
Simulation batch size,500.0
