Layer,Limit,Attachment,Historical Claims Attaching,Expected Attaching Claims per Year,Historical Burning Cost,Simulated Expected Recovery,Simulation Standard Deviation,75th Percentile,90th Percentile,95th Percentile,99th Percentile,Technical Premium,Premium Loading
100k xs 50k,100000,50000,225,48.97221557757613,2731642.6734056547,2757025.7043120004,733464.4487996481,3165825.095,3680931.223,4041570.1825000006,5045113.135999999,3308430.8451744006,0.2
250k xs 100k,250000,100000,122,26.553823557619054,3058164.333553526,3071560.685553,1004210.2923247888,3638034.8325,4370543.306,4861239.0134999985,6003200.798,3685872.8226635996,0.2
500k xs 250k,500000,250000,45,9.794443115515225,2874310.6941145835,2849740.057028,1232994.6743313693,3583983.415,4449824.97,5062801.071999996,6362654.796500003,3419688.0684335995,0.2
